trial_id,estimator,shift,trt_change,gamma2_m,sigma2_m,sigma_ratio,sigma2_ratio
4,chi_DR,Linear Covariate Shift,Constant,1.6392584553796918e-22,0,0,0
4,chi_DR,Linear Covariate Shift,Effect Modification,1.994544834004204e-4,0,0,0
4,chi_DR,Linear Covariate Shift,Linear,3.304640589005337e-4,7.433307044826411e-7,0.03909892260422662,0.0022472531835717965
4,chi_DR,Linear Covariate Shift,Linear + Effect Modification,1.553696583644683e-5,1.9796087421901187e-8,0.025141103913538153,0.0012562440705657955
4,chi_DR,Linear Covariate Shift,Spline,2.6987945773036554e-4,1.0148477839021708e-6,0.03425998326256276,0.0036610614745617837
4,chi_DR,Linear Covariate Shift,Spline + Effect Modification,4.8004998881222294e-5,1.2409364499323882e-8,0.011546613623026657,2.6205268873681517e-4
4,chi_DR,No Covariate Shift,Constant,1.0282876896436908e-22,0,0,0
4,chi_DR,No Covariate Shift,Effect Modification,1.1795703709151152e-22,0,0,0
4,chi_DR,No Covariate Shift,Linear,3.271432049751984e-4,2.4238240014947845e-7,0.023777815310567465,7.40249244175602e-4
4,chi_DR,No Covariate Shift,Linear + Effect Modification,3.2732577493962923e-4,7.215522246999553e-7,0.034372006804883046,0.002194265484957767
4,chi_DR,No Covariate Shift,Spline,2.703744483259996e-4,9.721717888911307e-7,0.050447245385973595,0.003581918911586525
4,chi_DR,No Covariate Shift,Spline + Effect Modification,2.7004056833268537e-4,1.2726063761052876e-6,0.05594538233364956,0.004673575155710094
4,chi_DRj,Flexible Covariate Shift,Constant,1.0688600163423312e-22,0,0,0
4,chi_DRj,Flexible Covariate Shift,Effect Modification,8.881616561630414e-4,0,0,0
4,chi_DRj,Flexible Covariate Shift,Linear,1.603571104209415e-22,3.272571428571429e-4,0.9999999993290104,1
4,chi_DRj,Flexible Covariate Shift,Linear + Effect Modification,8.911869278357366e-4,3.272571428571435e-4,0.3773382387329579,0.26860786120475916
4,chi_DRj,Flexible Covariate Shift,Spline,1.037013996720404e-22,2.70959128581019e-4,0.9999999993936232,1
4,chi_DRj,Flexible Covariate Shift,Spline + Effect Modification,8.897263769693707e-4,2.709591285810198e-4,0.3556249431467336,0.23348046675518372
4,chi_DRj,Linear Covariate Shift,Constant,1.6392584553796918e-22,0,0,0
4,chi_DRj,Linear Covariate Shift,Effect Modification,1.994544834004204e-4,0,0,0
4,chi_DRj,Linear Covariate Shift,Linear,1.434192956467763e-22,3.2725714285714285e-4,0.999999999363361,1
4,chi_DRj,Linear Covariate Shift,Linear + Effect Modification,2.0067088731628703e-4,3.2725714285714356e-4,0.560867017112306,0.6199435545597178
4,chi_DRj,Linear Covariate Shift,Spline,8.70659176591094e-23,2.70959128581019e-4,0.9999999994480879,1
4,chi_DRj,Linear Covariate Shift,Spline + Effect Modification,1.9496444249041697e-4,2.709591285810197e-4,0.5410924238881101,0.5816230733300468
4,chi_DRj,No Covariate Shift,Constant,1.0282876896436908e-22,0,0,0
4,chi_DRj,No Covariate Shift,Effect Modification,1.1795703709151152e-22,0,0,0
4,chi_DRj,No Covariate Shift,Linear,1.505515553047043e-22,3.2725714285714285e-4,0.9999999993379686,1
4,chi_DRj,No Covariate Shift,Linear + Effect Modification,1.5233499567854114e-22,3.2725714285714356e-4,0.9999999993550555,1
4,chi_DRj,No Covariate Shift,Spline,1.0277725240522071e-22,2.709591285810189e-4,0.9999999994069212,1
